,Origin_Dest,Destination,Company_names,start_date,end_date,Stops,Timings,Duration,Price
39,BOM,BLR,"GoFirst, AirAsia India",8/19/2023,11/30/2023,direct,06:10–07:45,1h 35m,"₹ 5,369"
40,BOM,BLR,"GoFirst, AirAsia India",8/19/2023,11/30/2023,direct,19:15–21:00,1h 45m,"₹ 5,369"
41,BOM,BLR,"GoFirst, AirAsia India",8/19/2023,11/30/2023,direct,15:00–16:45,1h 45m,"₹ 5,369"
42,BOM,BLR,"GoFirst, AirAsia India",8/19/2023,11/30/2023,direct,15:00–16:45,1h 45m,"₹ 5,369"
43,BOM,BLR,"GoFirst, AirAsia India",8/19/2023,11/30/2023,direct,22:40–00:30+1,1h 50m,"₹ 5,369"
44,BOM,BLR,"GoFirst, AirAsia India",8/19/2023,11/30/2023,direct,19:15–21:00,1h 45m,"₹ 5,369"
0,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,06:10–07:45,1h 35m,"₹ 4,930"
1,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,15:00–16:45,1h 45m,"₹ 4,930"
2,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,19:15–21:00,1h 45m,"₹ 4,930"
3,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,22:40–00:30+1,1h 50m,"₹ 4,930"
4,BOM,BLR,"Akasa Air, Air India",8/10/2023,10/19/2023,direct,20:00–21:35,1h 35m,"₹ 5,127"
5,BOM,BLR,"Akasa Air, Air India",8/10/2023,10/19/2023,direct,19:00–20:35,1h 35m,"₹ 5,127"
6,BOM,BLR,"Akasa Air, Air India",8/10/2023,10/19/2023,direct,00:05–01:40,1h 35m,"₹ 5,127"
7,BOM,BLR,"Akasa Air, Air India",8/10/2023,10/19/2023,direct,12:55–14:35,1h 40m,"₹ 5,127"
8,BOM,BLR,"Akasa Air, Air India",8/10/2023,10/19/2023,direct,14:15–15:55,1h 40m,"₹ 5,127"
9,BOM,BLR,"Akasa Air, Air India",8/10/2023,10/19/2023,direct,09:25–11:05,1h 40m,"₹ 5,127"
10,BOM,BLR,"Akasa Air, Air India",8/10/2023,10/19/2023,direct,22:20–00:15+1,1h 55m,"₹ 5,127"
11,BOM,BLR,GoFirst,8/10/2023,10/19/2023,direct,06:10–07:45,1h 35m,"₹ 5,371"
12,BOM,BLR,GoFirst,8/10/2023,10/19/2023,direct,06:10–07:45,1h 35m,"₹ 5,371"
13,BOM,BLR,GoFirst,8/10/2023,10/19/2023,direct,06:10–07:45,1h 35m,"₹ 5,371"
14,BOM,BLR,GoFirst,8/10/2023,10/19/2023,direct,19:15–21:00,1h 45m,"₹ 5,371"
15,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,20:00–21:35,1h 35m,"₹ 5,568"
16,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,00:05–01:40,1h 35m,"₹ 5,568"
17,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,19:00–20:35,1h 35m,"₹ 5,568"
18,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,00:05–01:40,1h 35m,"₹ 5,568"
19,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,19:00–20:35,1h 35m,"₹ 5,568"
20,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,20:00–21:35,1h 35m,"₹ 5,568"
21,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,09:25–11:05,1h 40m,"₹ 5,568"
22,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,14:15–15:55,1h 40m,"₹ 5,568"
23,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,19:00–20:35,1h 35m,"₹ 5,568"
24,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,20:00–21:35,1h 35m,"₹ 5,568"
25,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,00:05–01:40,1h 35m,"₹ 5,568"
26,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,09:25–11:05,1h 40m,"₹ 5,568"
27,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,14:15–15:55,1h 40m,"₹ 5,568"
28,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,09:25–11:05,1h 40m,"₹ 5,568"
29,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,14:15–15:55,1h 40m,"₹ 5,568"
30,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,22:20–00:15+1,1h 55m,"₹ 5,568"
31,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,22:20–00:15+1,1h 55m,"₹ 5,568"
32,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,22:20–00:15+1,1h 55m,"₹ 5,568"
33,BOM,BLR,Air India,8/10/2023,10/19/2023,direct,18:55–20:25,1h 30m,"₹ 5,772"
34,BOM,BLR,Air India,8/10/2023,10/19/2023,direct,16:40–18:25,1h 45m,"₹ 5,772"
35,BOM,BLR,Air India,8/10/2023,10/19/2023,direct,04:00–05:50,1h 50m,"₹ 5,772"
36,BOM,BLR,Air India,8/10/2023,10/19/2023,direct,12:00–14:00,2h 00m,"₹ 5,772"
37,BOM,BLR,"Akasa Air, AirAsia India",8/10/2023,10/19/2023,direct,00:05–01:40,1h 35m,"₹ 5,777"
38,BOM,BLR,"Akasa Air, AirAsia India",8/10/2023,10/19/2023,direct,20:00–21:35,1h 35m,"₹ 5,777"
39,BOM,BLR,"Akasa Air, AirAsia India",8/10/2023,10/19/2023,direct,19:00–20:35,1h 35m,"₹ 5,777"
40,BOM,BLR,"Akasa Air, AirAsia India",8/10/2023,10/19/2023,direct,14:15–15:55,1h 40m,"₹ 5,777"
41,BOM,BLR,"Akasa Air, AirAsia India",8/10/2023,10/19/2023,direct,09:25–11:05,1h 40m,"₹ 5,777"
42,BOM,BLR,"Akasa Air, AirAsia India",8/10/2023,10/19/2023,direct,22:20–00:15+1,1h 55m,"₹ 5,777"
43,BOM,BLR,"IndiGo, Air India",8/10/2023,10/19/2023,direct,00:35–02:25,1h 50m,"₹ 6,139"
44,BOM,BLR,"Akasa Air, Air India",8/10/2023,10/19/2023,direct,13:00–14:30,1h 30m,"₹ 6,210"
45,BOM,BLR,"Air India, GoFirst",8/10/2023,10/19/2023,direct,04:00–05:50,1h 50m,"₹ 6,213"
46,BOM,BLR,"Air India, GoFirst",8/10/2023,10/19/2023,direct,04:00–05:50,1h 50m,"₹ 6,213"
47,BOM,BLR,"Air India, GoFirst",8/10/2023,10/19/2023,direct,04:00–05:50,1h 50m,"₹ 6,213"
48,BOM,BLR,Air India,8/10/2023,10/19/2023,direct,09:20–11:10,1h 50m,"₹ 6,297"
49,BOM,BLR,Air India,8/10/2023,10/19/2023,direct,06:45–08:40,1h 55m,"₹ 6,297"
50,BOM,BLR,"Air India, AirAsia India",8/10/2023,10/19/2023,direct,04:00–05:50,1h 50m,"₹ 6,422"
51,BOM,BLR,GoFirst,8/10/2023,10/19/2023,direct,19:15–21:00,1h 45m,"₹ 6,481"
52,BOM,BLR,"Vistara, Air India",8/10/2023,10/19/2023,direct,17:30–19:15,1h 45m,"₹ 6,559"
53,BOM,BLR,"Vistara, Air India",8/10/2023,10/19/2023,direct,16:00–17:45,1h 45m,"₹ 6,559"
54,BOM,BLR,"IndiGo, GoFirst",8/10/2023,10/19/2023,direct,00:35–02:25,1h 50m,"₹ 6,580"
55,BOM,BLR,"IndiGo, GoFirst",8/10/2023,10/19/2023,direct,00:35–02:25,1h 50m,"₹ 6,580"
56,BOM,BLR,"IndiGo, GoFirst",8/10/2023,10/19/2023,direct,00:35–02:25,1h 50m,"₹ 6,580"
57,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,13:00–14:30,1h 30m,"₹ 6,651"
58,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,13:00–14:30,1h 30m,"₹ 6,651"
59,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,13:00–14:30,1h 30m,"₹ 6,651"
60,BOM,BLR,"Akasa Air, GoFirst",8/10/2023,10/19/2023,direct,22:20–00:15+1,1h 55m,"₹ 6,678"
61,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,06:10–07:45,1h 35m,"₹ 6,726"
62,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,06:10–07:45,1h 35m,"₹ 6,726"
63,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,15:00–16:45,1h 45m,"₹ 6,726"
64,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,19:15–21:00,1h 45m,"₹ 6,726"
65,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,15:00–16:45,1h 45m,"₹ 6,726"
66,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,19:15–21:00,1h 45m,"₹ 6,726"
67,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,22:40–00:30+1,1h 50m,"₹ 6,726"
68,BOM,BLR,"GoFirst, Air India",8/10/2023,10/19/2023,direct,22:40–00:30+1,1h 50m,"₹ 6,726"
69,BOM,BLR,"IndiGo, Air India",8/10/2023,10/19/2023,direct,11:15–13:10,1h 55m,"₹ 6,819"
70,BOM,BLR,"Akasa Air, AirAsia India",8/10/2023,10/19/2023,direct,13:00–14:30,1h 30m,"₹ 6,860"
71,BOM,BLR,"Akasa Air, AirAsia India",8/10/2023,10/19/2023,direct,00:05–01:40,1h 35m,"₹ 6,922"
72,BOM,BLR,"Akasa Air, AirAsia India",8/10/2023,10/19/2023,direct,09:25–11:05,1h 40m,"₹ 6,922"
73,BOM,BLR,"Akasa Air, Air India",8/10/2023,10/19/2023,direct,20:00–21:35,1h 35m,"₹ 6,923"
74,BOM,BLR,"Akasa Air, Air India",8/10/2023,10/19/2023,direct,20:00–21:35,1h 35m,"₹ 6,923"
0,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,06:10–07:45,1h 35m,"₹ 4,055"
1,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,06:10–07:45,1h 35m,"₹ 4,055"
2,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,06:10–07:45,1h 35m,"₹ 4,055"
3,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,06:10–07:45,1h 35m,"₹ 4,055"
4,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,15:00–16:45,1h 45m,"₹ 4,055"
5,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,19:15–21:00,1h 45m,"₹ 4,055"
6,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,15:00–16:45,1h 45m,"₹ 4,055"
7,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,19:15–21:00,1h 45m,"₹ 4,055"
8,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,22:40–00:30+1,1h 50m,"₹ 4,055"
9,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,15:00–16:45,1h 45m,"₹ 4,055"
10,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,15:00–16:45,1h 45m,"₹ 4,055"
11,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,19:15–21:00,1h 45m,"₹ 4,055"
12,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,22:40–00:30+1,1h 50m,"₹ 4,055"
13,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,19:15–21:00,1h 45m,"₹ 4,055"
14,BOM,BLR,GoFirst,8/12/2023,9/28/2023,direct,22:40–00:30+1,1h 50m,"₹ 4,055"
15,BOM,BLR,"Akasa Air, GoFirst",8/12/2023,9/28/2023,direct,20:00–21:35,1h 35m,"₹ 4,308"
16,BOM,BLR,"Akasa Air, GoFirst",8/12/2023,9/28/2023,direct,20:00–21:35,1h 35m,"₹ 4,308"
17,BOM,BLR,"Akasa Air, GoFirst",8/12/2023,9/28/2023,direct,00:05–01:40,1h 35m,"₹ 4,308"
18,BOM,BLR,"Akasa Air, GoFirst",8/12/2023,9/28/2023,direct,14:15–15:55,1h 40m,"₹ 4,308"
19,BOM,BLR,"Akasa Air, GoFirst",8/12/2023,9/28/2023,direct,14:15–15:55,1h 40m,"₹ 4,308"
20,BOM,BLR,"Akasa Air, GoFirst",8/12/2023,9/28/2023,direct,09:25–11:05,1h 40m,"₹ 4,308"
21,BOM,BLR,"Akasa Air, GoFirst",8/12/2023,9/28/2023,direct,09:25–11:05,1h 40m,"₹ 4,308"
22,BOM,BLR,"Akasa Air, GoFirst",8/12/2023,9/28/2023,direct,14:15–15:55,1h 40m,"₹ 4,308"
23,BOM,BLR,"Akasa Air, GoFirst",8/12/2023,9/28/2023,direct,14:15–15:55,1h 40m,"₹ 4,308"
24,BOM,BLR,"Akasa Air, GoFirst",8/12/2023,9/28/2023,direct,22:20–00:15+1,1h 55m,"₹ 4,308"
